algorithm,test score,mean absolute error,standard deviation of mean absolute error
Linear Model,0.8235776982293044,6456231.804602528,17280442.219489403
SVM,0.898314090564414,0.5238263680960531,0.15032886329541661
RandomForest,0.9236248685569804,0.5299405044111604,0.1245484008227713
